report_date,no.active.wells
2015-02-01,143
2015-07-01,165
2016-03-01,169
2016-07-01,170
2017-02-01,180
2017-07-01,188
2018-02-01,193
2018-07-01,196
2019-02-01,205
2019-07-01,212
2020-02-01,215
2020-07-01,218
2021-02-01,219
2021-07-01,223
2022-02-01,224
2022-07-07,226
2023-02-21,229
2023-07-26,228
2024-01-18,241
2024-06-24,240
